tconst,primaryTitle,startYear,averageRating,numVotes
tt0111161,The Shawshank Redemption,1994,9.3,3097823
tt0468569,The Dark Knight,2008,9.1,3072860
tt1375666,Inception,2010,8.8,2729689
tt0137523,Fight Club,1999,8.8,2514096
tt0109830,Forrest Gump,1994,8.8,2419084
tt0816692,Interstellar,2014,8.7,2404579
tt0110912,Pulp Fiction,1994,8.8,2368651
tt0133093,The Matrix,1999,8.7,2186513
tt0068646,The Godfather,1972,9.2,2159074
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2140137
tt0167260,The Lord of the Rings: The Return of the King,2003,9.0,2106514
tt0114369,Se7en,1995,8.6,1948698
tt1345836,The Dark Knight Rises,2012,8.4,1941385
tt0167261,The Lord of the Rings: The Two Towers,2002,8.8,1900346
tt1853728,Django Unchained,2012,8.5,1821699
tt0172495,Gladiator,2000,8.5,1792875
tt0993846,The Wolf of Wall Street,2013,8.2,1719604
tt0361748,Inglourious Basterds,2009,8.4,1716694
tt0372784,Batman Begins,2005,8.2,1670335
tt0102926,The Silence of the Lambs,1991,8.6,1662100
